A1,Asian/Asian British: Indian,,Y,
A2,Asian/Asian British: Pakistani,,Y,
A3,Asian/Asian British: Bangladeshi,,Y,
A4,Asian/Asian British: Chinese,,Y,
A9,Asian/Asian British: Any other backgr'nd,,Y,
B1,Black/Black British: Caribbean,,Y,
B2,Black/Black British: African,,Y,
B9,Black/Black British: Any other Backgr'nd,,Y,
M1,Mixed: White and Black Caribbean,,Y,
M2,Mixed: White and Black African,,Y,
M3,Mixed: White and Asian,,Y,
M9,Mixed: Any other background,,Y,
MERGE,Needs to be confirmed following Merge,,Y,
NS,Prefer not to say,,Y,
O1,Chinese,,N,
O2,Other: Arab,,Y,
O9,Other: Any other background,,Y,
W1,White: Eng./Welsh/Scot./N.Irish/British,,Y,
W2,White : Irish,,Y,
W3,White: Gypsy or Irish Traveller,,Y,
W8,White : Irish Traveller/Gypsy,,N,2009-10-09 00:00:00
W9,White: Any other background,,Y,
