OFFENCE_CODE,STATUTE_CODE,DESCRIPTION,SEVERITY_RANKING,ACTIVE_FLAG,EXPIRY_DATE,HO_CODE
RR84215,RR84,Exceed a temporary 40mph speed restriction on a motorway - manned equipment,125,Y,,818/02
RR84216,RR84,Exceed temporary 50mph limit - Motorway (including road works),125,Y,,818/02
RR84217,RR84,Exceed a temporary 30mph speed limit in contravention of a Local Traffic Order - manned equipment,125,Y,,816/01
RR84218,RR84,Exceed temporary 40 mph speed restriction in contravention of a Local Traffic Order - manned equipment,125,Y,,816/01
RR84219,RR84,Exceed temporary 50mph speed restriction - roadworks - manually operated equipment,125,Y,,816/01
RR84220,RR84,Exceed a 20 mph speed limit in contravention of a Local Traffic Order - automatic camera device,125,Y,,816/11
RR84221,RR84,Exceed a 30 mph speed limit in contravention of a Local Traffic Order - automatic camera device,125,Y,,816/11
RR84222,RR84,Exceed a 40 mph speed limit in contravention of a Local Traffic Order - automatic camera device,125,Y,,816/11
RR84223,RR84,Exceed a 50 mph speed limit in contravention of a Local Traffic Order - automatic camera device,125,Y,,816/11
RR84224,RR84,Exceed a 60 mph speed limit in contravention of a Local Traffic Order - automatic camera device,125,Y,,816/11
RR84225,RR84,Speeding - exceed temporary restriction of 40mph on a motorway (road works) - unmanned equipment,125,Y,,818/02
RR84226,RR84,Speeding - exceed temporary restriction of 50mph on a motorway (road works) - unmanned equipment,125,Y,,818/02
RR84700,RR84,Offence by horse drawn vehicle at pedestrian crossing,125,N,2014-07-05 00:00:00,135/12
RR96001,RR96,Flight of aircraft other than helicopter below 1500 feet above the highest fixed object w/i 600 m of the aircraft,125,N,2014-07-05 00:00:00,195/99
RS84002,RS84,Fail to comply with req' of certifying officer/PSV examiner re use of PSV for international carriage of passengers,125,N,2014-07-05 00:00:00,173/13
RS84003,RS84,Wilfully obstruct certifying officer/PSV examiner re use of PSV for international carriage of passengers,125,N,2014-07-05 00:00:00,173/13
RS84005,RS84,Fail comply with req' of cert officer/PSV examiner re use of veh' for internat' carriage of passengers (occas' service),125,N,2014-07-05 00:00:00,173/13
RS84006,RS84,Wilful obstruct cert' officer/PSV examiner re use of vehicle for internat' carriage of passengers (occas' service),125,N,2014-07-05 00:00:00,173/13
RS84007,RS84,Use veh for Community-reg' carriage of passengers by road contravene rel provision concerning type of service provided,125,N,2014-07-05 00:00:00,173/13
RS84008,RS84,Use veh for ASOR / Community reg' carriage of passengers by road contravene rel' provision concerning control doc's,125,N,2014-07-05 00:00:00,173/13
RS84009,RS84,Contravene/fail to comply with requirement imposed by relevant regulation concerning control documents,125,N,2014-07-05 00:00:00,173/13
RS84011,RS84,Wilfully obstruct examiner in exercise of power under relevant regulation concerning control documents,125,N,2014-07-05 00:00:00,173/13
RS84012,RS84,Cause PSV used for internat' carriage of passengers w/o authorisation (regular & shuttle services non-Comm'-regulated),125,N,2014-07-05 00:00:00,173/13
RS84013,RS84,Permit PSV used for internat' carriage of passengers w/o authorisation (regular & shuttle services non-Comm'-regulated),125,N,2014-07-05 00:00:00,173/13
RS84014,RS84,Cause veh used for internat' carriage of passengers w/o complying with rel Article re control doc's (occas' service),125,N,2014-07-05 00:00:00,173/13
RS84015,RS84,Permit veh used for internat' carriage of passengers w/o complying with rel Article re control doc's (occas' service),125,N,2014-07-05 00:00:00,173/13
RS84016,RS84,Cause veh used for Community-reg' carriage of passengers by road contravene rel' provision re type of service provided,125,N,2014-07-05 00:00:00,173/13
RS84017,RS84,Permit veh used for Community-reg' carriage of passengers by road contravene rel' provision re type of service provided,125,N,2014-07-05 00:00:00,173/13
RS84018,RS84,Cause veh used for ASOR/Community-reg' carriage of passengers by road contravene relevant provision re control doc's,125,N,2014-07-05 00:00:00,173/13
RT89004,RT89,Fail to comply with condition of operators licence - driver information system,125,Y,,812/00
RT89005,RT89,Holder of provisional HGV licence aged 21 or over failing to comply with condition of licence,125,N,2014-07-05 00:00:00,807/90
RT89006,RT89,Holder of HGV licence aged under 21 failing to comply with condition of licence,125,N,2014-07-05 00:00:00,807/90
RT89007,RT89,Causing person under 21 to drive HGV in contravention of condition of his or her licence,125,N,2014-07-05 00:00:00,807/90
RT89008,RT89,Permitting person under 21 to drive HGV in contravention of condition of his or her licence,125,N,2014-07-05 00:00:00,807/90
RV02001,RV02,Exhibit on a vehicle a thing intended / reasonably mistaken for a vehicle / nil / trade license,125,Y,,814/03
RV02002,RV02,Fail to produce registration book / document for inspection,125,Y,,810/90
RV02003,RV02,Vehicle - fail to notify alteration to particulars in registration document,125,Y,,810/90
RV02004,RV02,Vehicle - fail to notify of export / destruction,125,Y,,825/99
RV02005,RV02,Vehicle - fail to notify Secretary of State of change to registered keeper name / address,125,Y,,810/90
RV02006,RV02,Fail to notify the Sec of State of change of the name and address of the holder of a trade license,125,Y,,810/90
RV02007,RV02,Change of keeper - reg keeper fail to give registration document to new keeper (pre 24/3/97),125,Y,,810/90
RV02008,RV02,Change of keeper - reg keeper fail to forward registration document to Sec of State (pre 24/3/97),125,Y,,810/90
RV02009,RV02,New keeper fail to notify intention to use/keep vehicle off road,125,Y,,825/99
RV02010,RV02,New keeper fail to notify Sec of State that vehicle is to used solely under a trade license,125,Y,,810/90
RV02011,RV02,Vehicle - fail to give registration document to new keeper - not a vehicle trader,125,Y,,810/90
RV02012,RV02,Vehicle - previous keeper fail to send reg' doc to Sec ' of State - transfer to new keeper not trader,125,Y,,810/90
RV02013,RV02,Vehicle - fail to send registration document to Secretary of State - sale to trader,125,Y,,810/90
RV02014,RV02,Vehicle - fail to send registration document to Secretary of State - purchase by trader,125,Y,,810/90
RV02015,RV02,Change of keeper - sale by vehicle trader fail to forward registration document to Sec of State (post 23/3/97),125,Y,,810/90
RV02016,RV02,Vehicle - fail to return trade plates to Secretary of State,125,Y,,810/90
RV02017,RV02,Fail to display trade license,125,Y,,810/90
RV02018,RV02,Fail to submit vehicle for reduced pollution examination,125,N,2014-07-05 00:00:00,825/99
RV02019,RV02,Fail to submit eligible vehicle for re-examination where a reduced pollution certificate is in force,125,N,2014-07-05 00:00:00,825/99
RV02020,RV02,Fail to surrender a revoked /cancelled reduced pollution certificate,125,N,2014-07-05 00:00:00,825/99
RV02021,RV02,Fail to comply with a requirement of the Sec of State to produce vehicle for examination and produce other evidence,125,N,2014-07-05 00:00:00,825/99
RV02022,RV02,Fail to surrender a vehicle licence to Sec of State,125,Y,,810/90
RV02023,RV02,Vehicle - fail to notify expiry of vehicle / nil licence,125,Y,,810/90
RV02024,RV02,Vehicle - keep an unlicensed vehicle and fail to inform Secretary of State,125,Y,,810/90
RC86314,RC86,Speed limiter interfered with (goods) (permit),125,N,2014-07-05 00:00:00,825/99
RC86315,RC86,Speed limiter not restricting vehicle to max. speed (Goods) (use),125,N,2014-07-05 00:00:00,825/99
RC86316,RC86,Speed limiter not restricting vehicle to max. speed (Goods) (cause),125,N,2014-07-05 00:00:00,825/99
RC86317,RC86,Speed limiter not restricting vehicle to max. speed (Goods) (permit),125,N,2014-07-05 00:00:00,825/99
RC86318,RC86,Exceed max plated weight: Vehicle on a Combined Transport Operation,125,N,2014-07-05 00:00:00,825/99
RC86319,RC86,Cause to exceed max plated weight: Vehicle on a Combined Transport Operation,125,N,2014-07-05 00:00:00,825/99
RC86320,RC86,Permit to exceed max plated weight: Vehicle on a Combined Transport Operation,125,N,2014-07-05 00:00:00,825/99
RC86324,RC86,Cause use of motor vehicle fitted with mixed tyres on the same axle,125,Y,,815/03
RC86326,RC86,Cause the use of motor vehicle fitted with mixed tyres on front and rear axles,125,Y,,815/03
RC86327,RC86,Vehicle defect - cause the use of a passenger vehicle fitted with tyres with insufficient tread,125,Y,,815/03
RC86328,RC86,Cause another to use a goods vehicle with a maximum gross weight of 3500kgs or less with defective tyre (where SOW 9a6 applies).,125,Y,,815/03
RC86329,RC86,Vehicle defect - cause use of light trailer - tyres with insufficient tread,125,Y,,815/03
RC86333,RC86,"Use motor vehicle or trailer with defective tyre, insufficient tread.",125,N,2014-07-05 00:00:00,815/03
RC86335,RC86,Cause the use of a motor vehicle with defective steering gear,125,Y,,815/02
RC86336,RC86,Cause use of motor vehicle - drivers vision obscured,125,Y,,815/90
RC86337,RC86,Cause use of a bus without mirrors fitted,125,Y,,815/90
RC86338,RC86,Cause use of a goods vehicle without mirrors - maximum gross weight exceeding 3500 kg,125,Y,,815/90
RC86339,RC86,Cause use of a goods vehicle without mirrors - maximum gross weight exceeding 12000 kg,125,Y,,825/90
RC86340,RC86,Cause use of veh (other than bus/goods veh above 3500 kgs or agricultural goods veh above 12000 kgs) with mirrors not fitted,125,Y,,815/90
